School ID,State,Geographic School District,Children 5-17 (SAIPE Estimate),% Poverty (SAIPE Estimate),% Single Parent Estimate,Single Parent Margin of Error,% HHs With Vulnerable Job Estimate,Vulnerable Job Margin of Error,% Crowded Conditions Estimate,HH With Crowded Conditions Margin of Error,% No Computer or Internet Estimate,No Computer or Internet Margin of Error,% Children with Disability,Children with Disability Margin of Error,% Linguistically Isolated Children,Linguistically Isolated Children Margin of Error
21940,Missouri,New Franklin R-I School District,501,16%,21%,12%-30%,27%,23%-32%,0%,0%-3%,12%,4%-19%,4%,1%-7%,0%,0%-4%
21960,Missouri,New Haven School District,398,12%,34%,10%-58%,25%,19%-32%,3%,0%-8%,23%,9%-38%,4%,0%-7%,0%,0%-6%
22110,Missouri,New York R-IV School District,53,14%,11%,4%-19%,20%,5%-34%,2%,0%-21%,29%,0%-60%,2%,0%-23%,0%,0%-42%
22140,Missouri,Newburg R-II School District,428,14%,28%,14%-42%,32%,22%-42%,1%,0%-3%,14%,7%-21%,13%,5%-20%,0%,0%-5%
22470,Missouri,Newtown-Harris R-III School District,61,31%,20%,2%-37%,26%,12%-41%,0%,0%-19%,9%,0%-23%,0%,0%-26%,0%,0%-36%
22500,Missouri,Niangua R-V School District,390,22%,30%,19%-42%,22%,17%-27%,3%,0%-6%,38%,9%-66%,3%,0%-5%,0%,0%-6%
22530,Missouri,Nixa School District,6268,9%,30%,24%-37%,32%,29%-35%,3%,1%-4%,13%,7%-18%,7%,4%-10%,2%,0%-3%
22560,Missouri,Nodaway-Holt R-VII School District,186,18%,47%,32%-63%,12%,8%-17%,1%,0%-5%,18%,6%-29%,11%,4%-19%,0%,0%-12%
22620,Missouri,Norborne R-VIII School District,264,11%,15%,7%-22%,19%,12%-27%,3%,0%-7%,20%,9%-32%,1%,0%-6%,0%,0%-8%
22650,Missouri,Normandy Schools Collaborative,5918,41%,78%,70%-85%,29%,26%-32%,2%,1%-3%,27%,19%-34%,10%,7%-14%,1%,0%-2%
22710,Missouri,North Andrew County R-VI School District,430,16%,14%,7%-21%,23%,18%-27%,0%,0%-3%,10%,1%-19%,3%,0%-7%,0%,0%-5%
22740,Missouri,North Callaway County R-I School District,1170,16%,37%,27%-48%,26%,20%-32%,2%,0%-4%,45%,29%-61%,1%,0%-3%,2%,0%-6%
22770,Missouri,North Harrison R-III School District,273,16%,28%,19%-38%,30%,25%-35%,2%,0%-6%,36%,14%-59%,5%,2%-9%,10%,1%-19%
22800,Missouri,North Kansas City 74 School District,"20,538",10%,35%,31%-39%,30%,28%-31%,1%,1%-2%,9%,7%-11%,6%,4%-7%,2%,1%-3%
22830,Missouri,North Platte County R-I School District,766,7%,17%,5%-29%,21%,17%-26%,1%,0%-3%,12%,1%-22%,4%,1%-6%,0%,0%-3%
22860,Missouri,Northeast Randolph County R-IV School District,472,20%,25%,15%-35%,22%,18%-27%,1%,0%-4%,10%,3%-17%,8%,4%-11%,0%,0%-5%
22890,Missouri,Northwest R-I School District,7549,11%,32%,25%-38%,30%,28%-32%,1%,1%-2%,13%,8%-19%,5%,3%-6%,1%,0%-2%
22920,Missouri,Northwestern R-I School District,221,20%,44%,20%-69%,20%,12%-28%,2%,0%-9%,5%,0%-13%,2%,0%-7%,0%,0%-10%
22950,Missouri,Norwood R-I School District,617,30%,22%,16%-28%,27%,20%-34%,3%,0%-6%,17%,9%-25%,4%,1%-7%,0%,0%-4%
22980,Missouri,Adair County R-I School District,322,23%,39%,14%-64%,28%,21%-35%,0%,0%-4%,11%,3%-20%,1%,0%-5%,0%,0%-7%
23010,Missouri,Oak Grove R-VI School District,2364,13%,42%,25%-60%,30%,26%-33%,3%,1%-6%,14%,8%-20%,5%,2%-8%,0%,0%-1%
23040,Missouri,Oak Hill R-I School District,358,28%,39%,16%-62%,28%,20%-37%,4%,0%-9%,24%,9%-39%,15%,6%-24%,0%,0%-6%
23070,Missouri,Oak Ridge R-VI School District,352,12%,25%,9%-42%,22%,16%-27%,2%,0%-5%,9%,0%-18%,8%,0%-16%,0%,0%-6%
23100,Missouri,Odessa R-VII School District,1725,12%,39%,25%-52%,28%,23%-33%,2%,0%-4%,12%,5%-19%,3%,1%-5%,0%,0%-2%
23130,Missouri,Oran R-III School District,395,13%,13%,7%-19%,24%,18%-30%,5%,0%-9%,9%,3%-16%,6%,1%-11%,0%,0%-6%
23160,Missouri,Orchard Farm R-V School District,2232,11%,39%,28%-50%,27%,24%-31%,1%,0%-2%,7%,3%-11%,6%,3%-9%,2%,0%-4%
23190,Missouri,South Holt County R-I School District,283,18%,30%,18%-42%,21%,16%-27%,0%,0%-3%,16%,5%-26%,3%,0%-8%,0%,0%-8%
23220,Missouri,Orrick R-XI School District,246,10%,37%,26%-48%,24%,21%-28%,1%,0%-5%,10%,3%-16%,4%,1%-7%,0%,0%-9%
23250,Missouri,Osborn R-O School District,145,15%,40%,24%-56%,30%,23%-37%,1%,0%-9%,16%,0%-31%,8%,0%-18%,0%,0%-15%
23270,Missouri,Osceola School District,419,35%,37%,16%-58%,28%,22%-34%,1%,0%-3%,31%,9%-52%,4%,1%-8%,0%,0%-5%
23310,Missouri,Otterville R-VI School District,302,20%,22%,9%-35%,20%,14%-25%,2%,0%-6%,32%,13%-52%,7%,0%-14%,0%,0%-7%
23340,Missouri,Gasconade County R-II School District,1961,16%,23%,16%-29%,23%,20%-27%,1%,0%-1%,14%,8%-20%,6%,3%-8%,0%,0%-2%
23370,Missouri,Thornfield R-I School District,120,33%,45%,18%-72%,27%,9%-45%,0%,0%-10%,39%,7%-70%,11%,0%-24%,0%,0%-18%
23400,Missouri,Lutie R-VI School District,106,24%,59%,27%-92%,30%,20%-40%,2%,0%-7%,25%,14%-35%,0%,0%-15%,0%,0%-21%
23430,Missouri,Ozark R-VI School District,6091,11%,23%,18%-28%,33%,30%-36%,1%,1%-2%,8%,4%-12%,4%,2%-6%,0%,0%-1%
23460,Missouri,Meramec Valley R-III School District,3256,13%,44%,33%-55%,32%,29%-36%,2%,0%-3%,12%,6%-17%,6%,3%-10%,0%,0%-2%
23490,Missouri,Palmyra R-I School District,1291,11%,33%,22%-44%,20%,16%-25%,1%,0%-2%,8%,2%-15%,8%,3%-14%,0%,0%-2%
23530,Missouri,Paris R-II School District,342,22%,51%,33%-68%,26%,21%-32%,1%,0%-3%,10%,2%-19%,0%,0%-5%,0%,0%-6%
23550,Missouri,Park Hill School District,"12,325",7%,32%,27%-37%,28%,26%-29%,1%,1%-2%,6%,4%-7%,6%,5%-8%,2%,1%-3%
23580,Missouri,Parkway C-2 School District,"21,863",5%,19%,17%-21%,25%,24%-27%,1%,1%-2%,2%,1%-2%,4%,3%-5%,1%,1%-2%
23640,Missouri,Meadow Heights R-II School District,594,16%,2%,0%-4%,33%,24%-43%,4%,0%-8%,13%,0%-29%,4%,0%-10%,0%,0%-4%
23670,Missouri,Pattonsburg R-II School District,193,25%,28%,16%-39%,22%,14%-29%,3%,0%-9%,2%,0%-9%,5%,1%-8%,0%,0%-11%
23700,Missouri,Pattonville R-III School District,5810,15%,35%,30%-41%,32%,29%-34%,1%,1%-2%,5%,3%-6%,4%,3%-6%,2%,0%-4%
23730,Missouri,Raymore-Peculiar R-II School District,6160,7%,24%,19%-29%,24%,22%-27%,1%,0%-1%,3%,2%-4%,4%,2%-5%,0%,0%-1%
23760,Missouri,North Pemiscot County R-I School District,211,44%,48%,30%-66%,20%,14%-25%,2%,0%-6%,8%,1%-16%,8%,3%-13%,0%,0%-10%
23790,Missouri,Pemiscot County R-III School District,202,24%,41%,22%-59%,16%,10%-22%,0%,0%-7%,17%,6%-27%,5%,0%-13%,0%,0%-11%
24530,Missouri,Perry County 32 School District,3275,12%,28%,21%-35%,23%,20%-26%,2%,1%-3%,7%,4%-11%,4%,2%-6%,0%,0%-2%
24690,Missouri,Pettis County R-XII School District,139,23%,35%,17%-53%,36%,27%-45%,2%,0%-6%,6%,0%-14%,5%,0%-11%,0%,0%-16%
25080,Missouri,Phelps County R-III School District,368,16%,24%,9%-40%,33%,23%-43%,0%,0%-3%,16%,4%-28%,9%,2%-16%,0%,0%-6%
25110,Missouri,Pierce City R-VI School District,678,25%,33%,15%-51%,22%,17%-27%,4%,0%-8%,35%,17%-53%,1%,0%-3%,0%,0%-3%
25140,Missouri,Pike County R-III School District,485,15%,28%,14%-42%,26%,21%-31%,0%,0%-2%,23%,10%-36%,4%,1%-6%,0%,0%-5%
25170,Missouri,Pilot Grove C-4 School District,240,16%,25%,18%-32%,29%,24%-34%,1%,0%-6%,25%,7%-43%,1%,0%-3%,0%,0%-9%
25210,Missouri,Plato R-V School District,390,24%,16%,2%-30%,24%,15%-33%,0%,0%-2%,36%,21%-52%,0%,0%-3%,0%,0%-6%
25230,Missouri,Platte County R-III School District,4238,7%,27%,18%-35%,26%,23%-29%,3%,1%-5%,4%,2%-6%,6%,2%-11%,3%,0%-7%
25290,Missouri,Clinton County R-III School District,781,12%,14%,8%-20%,30%,25%-35%,1%,0%-3%,16%,8%-24%,2%,0%-5%,6%,0%-14%
25330,Missouri,Pleasant Hill R-III School District,2113,7%,17%,10%-24%,27%,22%-31%,2%,0%-4%,10%,3%-17%,5%,2%-8%,4%,0%-9%
25350,Missouri,Pleasant Hope R-VI School District,1030,20%,36%,21%-50%,22%,17%-27%,2%,0%-4%,23%,4%-41%,6%,1%-10%,0%,0%-3%
25410,Missouri,Polo R-VII School District,292,14%,24%,11%-37%,26%,20%-32%,4%,0%-8%,8%,3%-13%,8%,2%-13%,0%,0%-8%
25450,Missouri,Poplar Bluff R-I School District,5718,28%,43%,36%-50%,30%,27%-34%,1%,0%-2%,11%,6%-16%,10%,7%-12%,0%,0%-1%
25500,Missouri,Potosi R-III School District,2312,22%,25%,17%-33%,24%,21%-28%,2%,1%-4%,21%,13%-30%,11%,6%-16%,0%,0%-1%
25530,Missouri,Prairie Home R-V School District,305,20%,32%,11%-54%,25%,19%-32%,5%,0%-10%,16%,7%-24%,12%,3%-20%,0%,0%-7%
25590,Missouri,Princeton R-V School District,473,19%,25%,13%-38%,20%,13%-27%,2%,0%-5%,20%,8%-32%,6%,1%-10%,1%,0%-6%
25620,Missouri,Purdy R-II School District,552,28%,15%,6%-24%,14%,9%-19%,1%,0%-3%,17%,3%-31%,1%,0%-3%,3%,0%-9%
25640,Missouri,Putnam County R-I School District,706,21%,53%,37%-70%,20%,15%-24%,2%,0%-4%,41%,24%-58%,3%,0%-6%,0%,0%-3%
25650,Missouri,Puxico R-VIII School District,712,23%,33%,17%-49%,23%,18%-29%,5%,1%-8%,19%,9%-29%,10%,3%-17%,0%,0%-3%
25710,Missouri,Ralls County R-II School District,694,14%,43%,27%-59%,26%,21%-31%,1%,0%-3%,9%,5%-13%,10%,5%-15%,0%,0%-3%
26040,Missouri,Raymondville R-VII School District,196,40%,23%,7%-39%,35%,27%-42%,0%,0%-5%,40%,22%-59%,5%,0%-10%,0%,0%-11%
26070,Missouri,Raytown C-2 School District,9861,18%,51%,43%-59%,30%,28%-32%,1%,1%-2%,14%,9%-19%,5%,3%-7%,1%,0%-2%
26160,Missouri,Reeds Spring R-IV School District,1682,20%,29%,18%-40%,43%,38%-47%,2%,1%-3%,6%,3%-10%,7%,1%-13%,0%,0%-2%
26190,Missouri,Renick R-V School District,160,15%,26%,11%-40%,26%,17%-35%,2%,0%-8%,16%,0%-32%,8%,2%-13%,0%,0%-14%
26220,Missouri,Republic R-III School District,4782,12%,33%,26%-41%,28%,24%-31%,2%,1%-3%,14%,8%-21%,5%,3%-8%,0%,0%-1%
26310,Missouri,Rich Hill R-IV School District,590,13%,31%,14%-49%,22%,17%-27%,4%,1%-7%,23%,9%-37%,5%,1%-8%,5%,0%-12%
26370,Missouri,Richards R-V School District,965,27%,13%,6%-20%,36%,26%-47%,3%,0%-5%,13%,4%-23%,4%,0%-9%,0%,0%-2%
26400,Missouri,Richland R-I School District,232,31%,44%,22%-66%,25%,17%-33%,1%,0%-5%,6%,0%-14%,3%,0%-6%,0%,0%-9%
26430,Missouri,Richland R-IV School District,475,20%,32%,23%-40%,33%,24%-42%,0%,0%-2%,20%,5%-34%,1%,0%-5%,0%,0%-5%
26480,Missouri,Richmond R-XVI School District,1601,14%,24%,16%-31%,19%,15%-24%,1%,0%-2%,24%,13%-36%,5%,2%-8%,0%,0%-2%
26490,Missouri,Ridgeway R-V School District,98,22%,28%,13%-43%,26%,18%-33%,1%,0%-9%,12%,0%-24%,14%,0%-29%,0%,0%-22%
26550,Missouri,Ripley County R-III School District,125,19%,11%,0%-23%,15%,8%-23%,2%,0%-11%,25%,6%-43%,15%,0%-32%,0%,0%-18%
26580,Missouri,Ripley County R-IV School District,111,28%,71%,26%-100%,23%,13%-34%,2%,0%-10%,32%,19%-44%,8%,0%-21%,0%,0%-20%
26610,Missouri,Risco R-II School District,84,16%,25%,6%-44%,14%,7%-20%,2%,0%-9%,15%,4%-27%,12%,0%-29%,0%,0%-26%
26640,Missouri,Ritenour School District,6929,25%,57%,49%-64%,33%,31%-36%,2%,2%-3%,17%,12%-22%,10%,7%-14%,5%,2%-8%
26670,Missouri,Riverview Gardens School District,7496,37%,79%,72%-85%,34%,30%-37%,2%,1%-2%,18%,12%-23%,7%,5%-10%,0%,0%-1%
26790,Missouri,Rock Port R-II School District,371,13%,22%,13%-32%,24%,19%-29%,1%,0%-3%,6%,1%-12%,4%,0%-9%,0%,0%-6%
26850,Missouri,Rockwood R-VI School District,"23,312",4%,16%,13%-18%,27%,25%-28%,0%,0%-1%,2%,1%-3%,4%,3%-5%,1%,0%-1%
26890,Missouri,Rolla 31 School District,4612,22%,32%,26%-39%,28%,25%-31%,2%,1%-3%,13%,8%-18%,8%,5%-10%,2%,1%-4%
26940,Missouri,Roscoe C-1 School District,155,25%,16%,6%-25%,26%,13%-38%,9%,0%-20%,0%,0%-8%,10%,0%-20%,0%,0%-14%
26970,Missouri,Cole County R-I School District,699,6%,24%,15%-33%,26%,21%-31%,1%,0%-2%,25%,14%-37%,0%,0%-2%,0%,0%-3%
27060,Missouri,St. Joseph School District,"13,101",20%,39%,35%-43%,28%,26%-30%,2%,2%-3%,13%,10%-16%,8%,7%-10%,2%,1%-3%
27090,Missouri,Salem R-80 School District,962,29%,35%,22%-48%,34%,28%-40%,1%,0%-2%,8%,1%-16%,4%,1%-7%,0%,0%-3%
27330,Missouri,Hardeman R-X School District,84,11%,30%,10%-50%,14%,7%-21%,0%,0%-11%,13%,0%-33%,14%,0%-35%,0%,0%-26%
27450,Missouri,Orearville R-IV School District,24,18%,20%,0%-42%,26%,15%-37%,0%,0%-19%,14%,0%-53%,0%,0%-65%,0%,0%-92%
27520,Missouri,Salisbury R-IV School District,429,19%,20%,9%-31%,25%,21%-29%,2%,0%-5%,13%,6%-20%,11%,6%-17%,0%,0%-5%
27540,Missouri,Sarcoxie R-II School District,651,20%,25%,10%-40%,29%,23%-34%,1%,0%-2%,11%,5%-17%,8%,0%-20%,0%,0%-3%
27570,Missouri,Savannah R-III School District,2262,10%,28%,18%-38%,21%,18%-24%,2%,0%-3%,14%,8%-20%,6%,3%-8%,0%,0%-2%
27600,Missouri,Northeast Vernon County R-I School District,393,30%,11%,2%-20%,17%,12%-22%,5%,1%-10%,35%,17%-53%,5%,0%-10%,6%,0%-14%
27630,Missouri,School of The Osage School District,2033,22%,39%,20%-58%,35%,31%-39%,2%,1%-4%,11%,6%-16%,9%,3%-14%,0%,0%-2%
27660,Missouri,Schuyler County R-I School District,910,27%,32%,22%-42%,25%,21%-29%,2%,0%-3%,28%,20%-36%,6%,4%-9%,0%,0%-2%
27830,Missouri,Sedalia 200 School District,5364,22%,34%,29%-40%,28%,25%-30%,2%,1%-3%,19%,15%-24%,7%,5%-9%,0%,0%-1%
27870,Missouri,Senath-Hornersville C-8 School District,780,28%,31%,22%-39%,21%,15%-26%,2%,0%-4%,9%,4%-14%,5%,2%-8%,9%,0%-19%
27900,Missouri,Seneca R-VII School District,1673,26%,30%,18%-43%,33%,27%-38%,1%,0%-2%,19%,9%-28%,8%,2%-15%,0%,0%-2%
27930,Missouri,Seymour R-II School District,1576,46%,14%,7%-21%,21%,17%-25%,10%,7%-13%,65%,49%-82%,3%,1%-5%,3%,0%-8%
28080,Missouri,Shawnee R-III School District,100,13%,33%,13%-53%,21%,13%-30%,1%,0%-10%,6%,0%-21%,0%,0%-16%,0%,0%-22%
28110,Missouri,Shelby County R-IV School District,628,21%,35%,25%-45%,23%,20%-27%,2%,0%-4%,8%,3%-12%,9%,5%-12%,0%,0%-4%
28140,Missouri,North Shelby School District,408,13%,13%,4%-22%,20%,15%-25%,3%,0%-7%,20%,9%-30%,1%,0%-2%,5%,0%-12%
28170,Missouri,Sheldon R-VIII School District,216,24%,22%,7%-38%,24%,15%-33%,3%,0%-11%,5%,0%-11%,4%,0%-12%,0%,0%-10%
28200,Missouri,Shell Knob 78 School District,233,21%,40%,0%-98%,29%,20%-39%,7%,0%-14%,14%,0%-28%,0%,0%-7%,0%,0%-9%
28260,Missouri,Sikeston R-VI School District,3533,27%,45%,39%-52%,30%,26%-33%,3%,1%-4%,14%,9%-19%,14%,10%-17%,1%,0%-3%
28290,Missouri,Silex R-I School District,526,11%,9%,0%-18%,21%,17%-25%,1%,0%-4%,16%,5%-28%,5%,0%-9%,0%,0%-4%
28360,Missouri,Slater School District,360,23%,27%,9%-46%,17%,12%-22%,1%,0%-5%,8%,0%-18%,11%,4%-19%,0%,0%-6%
28380,Missouri,Smithton R-VI School District,796,16%,16%,6%-26%,21%,16%-27%,2%,0%-5%,14%,4%-23%,5%,0%-11%,2%,0%-4%
28410,Missouri,Smithville R-II School District,2352,3%,25%,14%-36%,33%,28%-38%,2%,0%-3%,3%,0%-6%,1%,0%-2%,0%,0%-1%
28430,Missouri,South Callaway County R-II School District,681,10%,40%,27%-54%,26%,20%-33%,1%,0%-4%,29%,10%-47%,4%,0%-8%,0%,0%-3%
28470,Missouri,South Iron County R-I School District,331,30%,26%,11%-40%,21%,15%-27%,3%,0%-6%,42%,23%-62%,12%,5%-19%,0%,0%-7%
28500,Missouri,South Nodaway County R-IV School District,183,10%,21%,11%-32%,26%,19%-32%,1%,0%-8%,24%,10%-38%,11%,2%-20%,0%,0%-12%
28530,Missouri,South Pemiscot County R-V School District,511,40%,56%,34%-78%,19%,14%-25%,2%,0%-5%,9%,0%-19%,11%,2%-19%,1%,0%-4%
28560,Missouri,Southern Boone County R-I School District,1654,6%,21%,9%-32%,20%,16%-25%,0%,0%-2%,6%,0%-13%,7%,3%-11%,0%,0%-2%
28590,Missouri,Southern Reynolds County R-II School District,504,31%,40%,24%-55%,25%,17%-33%,1%,0%-3%,8%,2%-13%,15%,5%-25%,0%,0%-4%
28620,Missouri,Southland C-9 School District,382,35%,48%,33%-62%,30%,22%-38%,5%,1%-9%,17%,7%-28%,19%,10%-27%,0%,0%-6%
28680,Missouri,Southwest Livingston County R-I School District,133,15%,36%,12%-60%,26%,20%-32%,5%,0%-9%,21%,7%-34%,2%,0%-11%,0%,0%-17%
28710,Missouri,Southwest R-V School District,917,22%,24%,17%-32%,33%,25%-41%,3%,1%-6%,58%,44%-72%,7%,3%-12%,0%,0%-2%
28740,Missouri,Sparta R-III School District,657,14%,18%,11%-25%,34%,26%-42%,6%,2%-10%,13%,6%-20%,6%,2%-10%,0%,0%-3%
28770,Missouri,Spickard R-II School District,171,36%,17%,10%-24%,23%,13%-33%,14%,0%-29%,63%,38%-89%,12%,0%-24%,4%,0%-17%
28800,Missouri,Spokane R-VII School District,927,11%,11%,7%-15%,38%,29%-48%,0%,0%-2%,25%,5%-46%,14%,1%-26%,0%,0%-3%
28860,Missouri,Springfield R-XII School District,"28,515",18%,37%,33%-40%,34%,33%-35%,2%,2%-3%,15%,13%-18%,6%,5%-7%,2%,1%-3%
28920,Missouri,St. Charles R-VI School District,5748,11%,37%,32%-43%,34%,32%-37%,0%,0%-1%,9%,6%-12%,4%,2%-6%,1%,0%-3%
28950,Missouri,Francis Howell R-III School District,"19,868",5%,24%,21%-27%,27%,25%-28%,0%,0%-1%,6%,5%-8%,4%,3%-5%,1%,0%-2%
29100,Missouri,St. Clair R-XIII School District,1813,13%,26%,15%-36%,26%,22%-30%,1%,0%-2%,20%,11%-28%,6%,2%-9%,0%,0%-2%
29130,Missouri,St. Elizabeth R-IV School District,186,10%,12%,5%-18%,20%,15%-26%,0%,0%-6%,4%,0%-11%,1%,0%-7%,0%,0%-12%
29170,Missouri,Central R-III School District,2330,27%,30%,17%-43%,23%,18%-28%,5%,1%-9%,12%,4%-20%,9%,1%-17%,0%,0%-1%
29250,Missouri,St. James R-I School District,1466,17%,33%,17%-48%,26%,21%-31%,1%,0%-2%,18%,7%-28%,3%,0%-7%,0%,0%-2%
29280,Missouri,St. Louis City School District,"40,806",37%,64%,62%-67%,29%,28%-30%,2%,1%-2%,25%,23%-28%,8%,7%-9%,3%,2%-4%
29340,Missouri,Stanberry R-II School District,407,16%,25%,14%-36%,20%,15%-24%,2%,0%-6%,29%,11%-47%,2%,0%-6%,0%,0%-5%
29370,Missouri,Ste. Genevieve County R-II School District,2525,13%,44%,35%-53%,22%,19%-26%,1%,0%-2%,13%,6%-20%,4%,2%-6%,0%,0%-1%
29430,Missouri,Steelville R-III School District,746,19%,53%,36%-69%,32%,24%-39%,2%,0%-4%,18%,6%-30%,7%,3%-12%,0%,0%-4%
29490,Missouri,Stewartsville C-2 School District,186,9%,15%,6%-23%,32%,23%-42%,0%,0%-5%,8%,1%-16%,0%,0%-8%,0%,0%-12%
29520,Missouri,Stockton R-I School District,1248,29%,28%,14%-43%,30%,24%-36%,2%,0%-3%,17%,5%-29%,11%,4%-18%,0%,0%-2%
29580,Missouri,Stoutland R-II School District,505,30%,12%,7%-17%,17%,12%-22%,4%,0%-8%,34%,5%-62%,6%,2%-10%,0%,0%-4%
29610,Missouri,Morgan County R-I School District,848,27%,35%,16%-55%,24%,18%-30%,1%,0%-2%,25%,17%-33%,9%,1%-17%,3%,0%-8%
29640,Missouri,Strafford R-VI School District,1225,15%,19%,12%-25%,28%,25%-31%,0%,0%-2%,11%,6%-17%,2%,0%-5%,0%,0%-2%
29670,Missouri,Strasburg C-3 School District,345,17%,35%,6%-65%,22%,16%-29%,11%,0%-22%,0%,0%-3%,7%,0%-16%,0%,0%-6%
29700,Missouri,Sturgeon R-V School District,567,24%,15%,9%-21%,20%,15%-25%,2%,0%-4%,30%,9%-52%,4%,1%-7%,0%,0%-4%
29730,Missouri,Success R-VI School District,145,38%,8%,0%-19%,18%,6%-29%,1%,0%-7%,58%,31%-85%,10%,0%-23%,0%,0%-15%
29760,Missouri,Sullivan C-2 School District,1565,17%,26%,18%-34%,25%,20%-29%,1%,0%-2%,19%,10%-28%,4%,0%-8%,0%,0%-2%
29810,Missouri,Summersville R-II School District,370,32%,18%,10%-26%,7%,2%-12%,3%,0%-6%,13%,0%-26%,5%,0%-11%,0%,0%-6%
29820,Missouri,Sunrise R-IX School District,519,11%,26%,10%-41%,29%,22%-36%,1%,0%-4%,12%,1%-23%,2%,0%-4%,0%,0%-4%
29850,Missouri,Swedeborg R-III School District,129,17%,25%,4%-46%,44%,29%-59%,2%,0%-12%,33%,10%-57%,5%,0%-17%,0%,0%-17%
29880,Missouri,Sweet Springs R-VII School District,469,16%,16%,8%-23%,20%,16%-24%,2%,0%-4%,14%,5%-22%,5%,1%-10%,0%,0%-5%
29910,Missouri,Taneyville R-II School District,367,16%,31%,17%-46%,33%,26%-41%,7%,1%-14%,15%,8%-23%,8%,3%-13%,0%,0%-6%
29940,Missouri,Tarkio R-I School District,290,16%,21%,14%-28%,29%,23%-34%,1%,0%-4%,2%,0%-5%,7%,3%-11%,0%,0%-8%
30270,Missouri,Thayer R-II School District,885,29%,29%,17%-41%,33%,26%-41%,2%,0%-5%,37%,21%-53%,9%,3%-14%,0%,0%-2%
30300,Missouri,Tina-Avalon R-II School District,125,14%,18%,0%-38%,15%,6%-24%,1%,0%-8%,17%,2%-32%,0%,0%-12%,0%,0%-18%
30330,Missouri,Tipton R-VI School District,887,17%,23%,2%-43%,28%,21%-35%,5%,1%-8%,40%,24%-55%,2%,0%-5%,1%,0%-4%
30360,Missouri,Trenton R-IX School District,1213,23%,35%,18%-52%,30%,24%-36%,1%,0%-2%,25%,16%-34%,4%,1%-7%,0%,0%-2%
30390,Missouri,Tri-County R-VII School District,525,25%,5%,1%-8%,30%,24%-36%,9%,5%-13%,73%,61%-85%,4%,0%-7%,9%,0%-17%
30420,Missouri,East Newton County R-VI School District,1628,22%,16%,10%-22%,27%,23%-31%,2%,1%-3%,16%,8%-24%,7%,3%-11%,0%,0%-2%
30450,Missouri,Troy R-III School District,6843,13%,33%,25%-41%,29%,26%-32%,3%,2%-3%,13%,8%-18%,6%,4%-8%,0%,0%-1%
30510,Missouri,Miller County R-III School District,232,20%,25%,9%-40%,29%,21%-37%,3%,0%-8%,13%,4%-21%,5%,0%-11%,0%,0%-9%
30520,Missouri,Twin Rivers R-X School District,1035,25%,23%,11%-35%,20%,15%-26%,2%,0%-4%,16%,8%-25%,6%,3%-10%,0%,0%-3%
30570,Missouri,Union R-XI School District,4223,11%,39%,31%-47%,24%,20%-28%,2%,1%-3%,19%,11%-26%,5%,2%-8%,0%,0%-1%
30600,Missouri,Union Star R-II School District,112,14%,9%,1%-18%,19%,13%-25%,0%,0%-7%,9%,0%-23%,9%,0%-22%,0%,0%-20%
30660,Missouri,University City School District,4134,17%,38%,27%-48%,22%,19%-25%,1%,0%-1%,6%,3%-8%,4%,1%-6%,0%,0%-1%
30690,Missouri,Valley Park School District,881,17%,25%,14%-37%,30%,25%-35%,0%,0%-1%,4%,0%-8%,6%,1%-11%,0%,0%-4%
30720,Missouri,Valley R-VI School District,324,22%,13%,1%-25%,26%,17%-34%,1%,0%-3%,7%,0%-14%,3%,0%-9%,0%,0%-7%
30750,Missouri,Van Buren R-I School District,596,35%,45%,27%-63%,30%,23%-38%,2%,0%-5%,21%,8%-34%,4%,0%-9%,0%,0%-4%
30780,Missouri,Van-Far R-I School District,714,19%,35%,33%-38%,25%,19%-31%,1%,0%-4%,22%,12%-32%,1%,0%-4%,2%,0%-8%
30810,Missouri,Verona R-VII School District,322,29%,19%,6%-33%,25%,18%-32%,4%,0%-8%,53%,32%-75%,5%,0%-10%,11%,0%-23%
30840,Missouri,Morgan County R-II School District,1806,22%,34%,26%-42%,33%,26%-40%,1%,0%-2%,42%,29%-56%,8%,5%-12%,0%,0%-2%
30870,Missouri,Maries County R-I School District,675,17%,31%,20%-43%,31%,25%-37%,2%,0%-5%,12%,3%-20%,3%,0%-6%,0%,0%-3%
30900,Missouri,West Nodaway County R-I School District,294,25%,57%,34%-81%,18%,13%-23%,1%,0%-5%,36%,14%-58%,2%,0%-7%,0%,0%-7%
30990,Missouri,Walnut Grove R-V School District,420,17%,7%,2%-12%,24%,20%-29%,3%,0%-6%,30%,13%-48%,9%,2%-16%,1%,0%-5%
31020,Missouri,Warrensburg R-VI School District,3605,12%,19%,14%-24%,35%,31%-38%,2%,1%-3%,6%,3%-8%,5%,2%-8%,0%,0%-1%
31050,Missouri,Warren County R-III School District,3562,15%,33%,25%-40%,27%,23%-31%,4%,1%-6%,9%,4%-15%,11%,6%-15%,0%,0%-1%
31070,Missouri,Warsaw R-IX School District,1167,33%,35%,24%-46%,34%,29%-40%,2%,1%-3%,9%,4%-13%,4%,1%-7%,0%,0%-3%
31110,Missouri,Washington School District,5820,8%,18%,13%-23%,29%,26%-31%,1%,1%-2%,7%,4%-10%,8%,4%-12%,0%,0%-1%
31140,Missouri,Kingston K-14 School District,943,29%,33%,10%-56%,36%,26%-47%,3%,0%-6%,22%,6%-38%,24%,10%-38%,0%,0%-3%
